ICRU proton energy vs stopping power vs range,,
Source: ICRU Report 73 (2005) - p.128,,
In Diamond (amorphous Carbon): Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
25,0.1,320.6
30,0.1777,354.8
40,0.4895,414.8
50,0.7615,465.9
60,1.007,509.9
70,1.2325,547.9
80,1.4435,580.9
90,1.6435,609.4
100,1.834,634
150,2.7225,711.3
200,3.549,740.1
250,4.352,748.2
300,5.155,747.1
400,6.775,733.5
500,8.435,713.9
600,10.14,692.3
700,11.9,670.3
800,13.72,648.7
900,15.6,627.8
1000,17.545,607.7
1500,28.235,520.5
2000,40.62,452.9
2500,54.75,399.8
3000,70.65,357.4
4000,107.8,294.4
5000,152.15,250.2
6000,203.7,217.7
7000,262.4,192.9
8000,328.1,173.4
9000,400.8,157.6
10000,480.35,144.7
15000,978,103.8
20000,1633,82.11
25000,2437,68.51
30000,3382.5,59.13
40000,5680,46.96
50000,8485,39.35
60000,11770,34.11
70000,15510,30.27
80000,19690,27.34
90000,24285,25.01
100000,29280,23.13
150000,59750,17.31
200000,98150,14.31
250000,143250,12.47
300000,194100,11.23
400000,309850,9.69
500000,440450,8.777
600000,582300,8.184
700000,733000,7.775
800000,890400,7.482
900000,1053000,7.266
1000000,1220000,7.1
