ICRU proton energy vs stopping power vs range,,
Source: ICRU Report 73 (2005) - p.138,,
In Diamond: Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
25,0,226.3
30,0.2497,254.6
40,0.678,305.9
50,1.045,347.8
60,1.373,380.4
70,1.677,405.7
80,1.962,425.9
90,2.235,442.4
100,2.509,456
150,3.76,499.2
200,4.932,521.1
250,6.07,533.3
300,7.187,539.7
400,9.402,542.4
500,11.62,537
600,13.88,527.2
700,16.18,515.2
800,18.54,502.2
900,20.96,488.9
1000,23.45,475.7
1500,36.96,415.4
2000,52.36,366.7
2500,69.7,327.6
3000,89,295.7
4000,133.6,247.3
5000,186,212.5
6000,246.5,186.4
7000,314.8,166.2
8000,390.8,150.2
9000,471.8,137.1
10000,565.8,126.3
15000,1132,91.68
20000,1871,72.95
25000,2774,61.13
30000,3832,52.93
40000,6391,42.23
50000,9504,35.5
60000,13140,30.85
70000,17270,27.44
80000,21880,24.82
90000,26940,22.74
100000,32430,21.06
150000,65800,15.83
200000,107700,13.12
250000,156900,11.45
300000,212200,10.34
400000,337800,8.938
500000,479200,8.111
600000,632600,7.574
700000,795300,7.205
800000,965100,6.941
900000,1141000,6.746
1000000,1321000,6.598
