ICRU proton energy vs stopping power vs range,,
Source: ICRU Report 49 (1993) - p.188,,
In Diamond (Graphite): Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
1.0,0.0363,19.20
1.5,0.0501,22.90
2.0,0.0632,25.90
2.5,0.0756,28.50
3.0,0.0876,30.80
4.0,0.11,34.90
5.0,0.132,38.40
6.0,0.152,41.50
7.0,0.171,44.40
8.0,0.19,47.00
9.0,0.208,49.40
10.0,0.225,51.70
12.5,0.267,56.90
15.0,0.305,61.50
17.5,0.341,65.70
20.0,0.376,69.60
22.5,0.409,73.10
25.0,0.441,76.50
27.5,0.471,79.60
30.0,0.501,82.60
35.0,0.557,88.20
40.0,0.611,93.30
45.0,0.661,98.00
50.0,0.71,102.00
55.0,0.757,107.00
60.0,0.802,110.00
65.0,0.846,114.00
70.0,0.888,118.00
75.0,0.93,121.00
80.0,0.97,124.00
85.0,1.01,127.00
90.0,1.05,130.00
95.0,1.09,133.00
100.0,1.12,135.00
125.0,1.3,147.00
150.0,1.46,157.00
175.0,1.61,166.00
200.0,1.76,173.00
225.0,1.9,179.00
250.0,2.04,185.00
275.0,2.17,189.00
300.0,2.3,193.00
350.0,2.56,199.00
400.0,2.81,203.00
450.0,3.05,205.00
500.0,3.29,206.00
550.0,3.53,207.00
600.0,3.78,206.00
650.0,4.02,205.00
700.0,4.26,203.00
750.0,4.51,202.00
800.0,4.76,199.00
850.0,5.01,197.00
900.0,5.27,194.00
950.0,5.53,192.00
1000.0,5.79,189.00
1250.0,7.16,175.00
1500.0,8.64,162.00
1750.0,10.3,150.00
2000.0,12,140.00
2250.0,13.8,131.00
2500.0,15.8,123.00
2750.0,17.9,116.00
3000.0,20.1,110.00
3500.0,24.9,99.40
4000.0,30.1,90.90
4500.0,35.9,83.90
4000.0,42,78.10
5500.0,48.7,73.10
6000.0,55.7,68.80
6500.0,63.2,65.00
7000.0,71.1,61.60
7500.0,79.4,58.70
8000.0,88.1,56.00
8500.0,97.3,53.60
9000.0,107,51.40
9500.0,117,49.40
10000.0,127,47.60
12500.0,184,40.30
15000.0,251,35.10
17500.0,327,31.20
20000.0,411,28.10
22500.0,505,25.60
25000.0,606,23.60
27500.0,716,21.90
30000.0,835,20.40
35000.0,1100,18.10
40000.0,1390,16.20
45000.0,1710,14.80
50000.0,2060,13.60
55000.0,2450,12.60
60000.0,2860,11.70
65000.0,3300,11.00
70000.0,3770,10.30
75000.0,4270,9.77
80000.0,4790,9.27
85000.0,5350,8.83
90000.0,5930,8.43
95000.0,6530,8.06
100000.0,7170,7.74
125000.0,10700,6.46
150000.0,14900,5.57
175000.0,19700,4.93
200000.0,25000,4.43
225000.0,31000,4.04
250000.0,37400,3.72
275000.0,44400,3.45
300000.0,51900,3.23
350000.0,68400,2.87
400000.0,86700,2.59
450000.0,107000,2.38
500000.0,129000,2.20
550000.0,152000,2.06
600000.0,177000,1.94
650000.0,204000,1.83
700000.0,232000,1.74
750000.0,261000,1.67
800000.0,292000,1.60
850000.0,324000,1.54
900000.0,357000,1.48
950000.0,391000,1.43
1000000.0,426000,1.39
