ICRU helium energy vs stopping power vs range,,
Source: ICRU Report 49 (1993) - p.193,,
In Silicon: Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
1.0,0.011,4.723
1.5,0.015,6.163
2.0,0.018,7.434
2.5,0.021,8.598
3.0,0.025,9.862
4.0,0.031,11.68
5.0,0.036,13.51
6.0,0.041,15.21
7.0,0.046,16.82
8.0,0.050,18.34
9.0,0.054,19.81
10.0,0.058,21.21
12.5,0.067,24.53
15.0,0.076,27.61
17.5,0.083,30.52
20.0,0.091,33.27
22.5,0.097,35.91
25.0,0.103,38.44
27.5,0.109,40.87
30.0,0.115,43.22
35.0,0.125,47.7
40.0,0.135,51.93
45.0,0.144,55.94
50.0,0.152,59.75
55.0,0.160,63.39
60.0,0.168,66.86
65.0,0.175,70.19
70.0,0.182,73.37
75.0,0.188,76.43
80.0,0.194,79.35
85.0,0.201,82.16
90.0,0.206,84.85
95.0,0.212,87.44
100.0,0.218,89.91
125.0,0.244,100.8
150.0,0.267,109.7
175.0,0.289,116.8
200.0,0.310,122.5
225.0,0.330,127
250.0,0.349,130.7
275.0,0.368,133.6
300.0,0.386,135.9
350.0,0.423,139
400.0,0.458,140.8
450.0,0.493,141.6
500.0,0.529,141.7
550.0,0.564,141.3
600.0,0.599,140.5
650.0,0.635,139.5
700.0,0.671,138.3
750.0,0.707,137
800.0,0.744,135.6
850.0,0.781,134.1
900.0,0.818,132.6
950.0,0.856,131
1000.0,0.894,129.5
1250.0,1.093,121.8
1500.0,1.305,114.6
1750.0,1.529,108.1
2000.0,1.767,102.3
2250.0,2.017,97.06
2500.0,2.281,92.39
2750.0,2.558,88.14
3000.0,2.848,84.24
3500.0,3.468,77.31
4000.0,4.141,71.31
4500.0,4.869,66.12
5000.0,5.651,61.74
5500.0,6.487,57.97
6000.0,7.375,54.7
6500.0,8.314,51.82
7000.0,9.303,49.27
7500.0,10.340,47
8000.0,11.430,44.95
8500.0,12.560,43.09
9000.0,13.750,41.4
9500.0,14.980,39.86
10000.0,16.250,38.44
12500.0,23.320,32.78
15000.0,31.480,28.72
17500.0,40.700,25.65
20000.0,50.950,23.25
22500.0,62.190,21.3
25000.0,74.400,19.68
27500.0,87.570,18.32
30000.0,101.700,17.15
35000.0,132.600,15.26
40000.0,167.200,13.77
45000.0,205.200,12.58
50000.0,246.600,11.59
55000.0,291.400,10.77
60000.0,339.400,10.06
65000.0,390.700,9.454
70000.0,445.100,8.922
75000.0,502.700,8.453
80000.0,563.300,8.036
85000.0,627.000,7.662
90000.0,693.800,7.326
95000.0,763.500,7.021
100000.0,836.100,6.774
125000.0,1242.000,5.659
150000.0,1718.000,4.905
175000.0,2260.000,4.349
200000.0,2867.000,3.92
225000.0,3535.000,3.58
250000.0,4262.000,3.302
275000.0,5048.000,3.07
300000.0,5889.000,2.875
350000.0,7735.000,2.562
400000.0,9787.000,2.323
450000.0,12040.000,2.133
500000.0,14470.000,1.979
550000.0,17080.000,1.852
600000.0,19870.000,1.745
650000.0,22810.000,1.653
700000.0,25910.000,1.574
750000.0,29160.000,1.505
800000.0,32550.000,1.444
850000.0,36080.000,1.391
900000.0,39740.000,1.343
950000.0,43520.000,1.299
1000000.0,47430.000,1.26
