NIST helium energy vs stopping power vs range,,
Source: NIST astar Database,,
In Diamond (Carbon): Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
1,0.02,19.1
1.5,0.02,22.6
2,0.03,25.4
2.5,0.04,27.9
3,0.05,30.1
4,0.07,33.9
5,0.08,37.2
6,0.1,40.1
7,0.11,42.8
8,0.13,45.2
9,0.14,47.5
10,0.16,49.6
12.5,0.19,54.4
15,0.23,58.7
17.5,0.26,62.6
20,0.29,66.1
22.5,0.32,69.4
25,0.35,72.5
27.5,0.38,75.4
30,0.41,78.1
35,0.47,83.2
40,0.52,87.8
45,0.57,92.1
50,0.62,96.1
55,0.67,99.8
60,0.72,103
65,0.76,107
70,0.8,110
75,0.85,113
80,0.89,116
85,0.93,118
90,0.97,121
95,1.01,124
100,1.05,126
125,1.23,137
150,1.41,146
175,1.57,153
200,1.73,160
225,1.88,165
250,2.03,170
275,2.17,174
300,2.31,177
350,2.58,183
400,2.85,186
450,3.12,189
500,3.38,190
550,3.64,191
600,3.9,191
650,4.16,190
700,4.43,189
750,4.69,188
800,4.96,187
850,5.22,185
900,5.49,183
950,5.77,181
1000,6.04,180
1250,7.48,168
1500,9.01,157
1750,10.7,147
2000,12.4,137
2250,14.3,129
2500,16.3,121
2750,18.4,115
3000,20.7,109
3500,25.5,98.2
4000,30.8,89.8
4500,36.6,83
5000,42.8,77.2
5500,49.5,72.3
6000,56.7,68
6500,64.2,64.3
7000,72.2,61
7500,80.6,58.1
8000,89.4,55.4
8500,98.6,53.1
9000,108,50.9
9500,118,48.9
10000,129,47.1
12500,186,39.9
15000,254,34.8
17500,330,30.9
20000,415,27.9
25000,612,23.4
27500,722,21.7
30000,841,20.3
35000,1100,17.9
40000,1400,16.1
45000,1720,14.7
50000,2080,13.5
55000,2460,12.5
60000,2880,11.6
65000,3320,10.9
70000,3800,10.3
75000,4300,9.71
80000,4830,9.21
85000,5380,8.77
90000,5960,8.38
95000,6570,8.02
100000,7210,7.69
125000,10800,6.42
150000,15000,5.54
175000,19800,4.9
200000,25200,4.41
225000,31100,4.01
250000,37600,3.7
275000,44600,3.43
300000,52200,3.21
350000,68700,2.85
400000,87200,2.58
450000,107000,2.37
500000,129000,2.19
550000,153000,2.05
600000,178000,1.93
650000,205000,1.83
700000,233000,1.74
750000,262000,1.66
800000,293000,1.59
850000,325000,1.53
900000,358000,1.48
950000,393000,1.43
1000000,428000,1.38
