NIST alpha energy vs stopping power vs range (astar),,
In Silicon: Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
1,0.0253,4.73E+00
1.5,0.0371,6.16E+00
2,0.0491,7.43E+00
2.5,0.0611,8.60E+00
3,0.0733,9.68E+00
4,0.0978,1.17E+01
5,0.122,1.35E+01
6,0.147,1.52E+01
7,0.171,1.68E+01
8,0.195,1.83E+01
9,0.219,1.98E+01
10,0.242,2.12E+01
12.5,0.299,2.45E+01
15,0.354,2.76E+01
17.5,0.407,3.05E+01
20,0.458,3.33E+01
22.5,0.507,3.59E+01
25,0.554,3.84E+01
27.5,0.6,4.09E+01
30,0.644,4.32E+01
35,0.729,4.77E+01
40,0.809,5.19E+01
45,0.884,5.59E+01
50,0.957,5.98E+01
55,1.03,6.34E+01
60,1.09,6.69E+01
65,1.16,7.02E+01
70,1.22,7.34E+01
75,1.28,7.64E+01
80,1.34,7.94E+01
85,1.39,8.22E+01
90,1.45,8.49E+01
95,1.5,8.74E+01
100,1.55,8.99E+01
125,1.79,1.01E+02
150,2.02,1.10E+02
175,2.23,1.17E+02
200,2.43,1.23E+02
225,2.62,1.27E+02
250,2.81,1.31E+02
275,3,1.34E+02
300,3.18,1.36E+02
350,3.53,1.39E+02
400,3.88,1.41E+02
450,4.23,1.42E+02
500,4.58,1.42E+02
550,4.93,1.41E+02
600,5.28,1.41E+02
650,5.63,1.40E+02
700,5.99,1.38E+02
750,6.35,1.37E+02
800,6.71,1.36E+02
850,7.08,1.34E+02
900,7.45,1.33E+02
950,7.83,1.31E+02
1000,8.21,1.30E+02
1250,10.2,1.22E+02
1500,12.3,1.15E+02
1750,14.5,1.08E+02
2000,16.9,1.02E+02
2250,19.4,9.71E+01
2500,22,9.24E+01
2750,24.8,8.81E+01
3000,27.7,8.42E+01
3500,33.9,7.73E+01
4000,40.6,7.13E+01
4500,47.9,6.61E+01
5000,55.7,6.17E+01
5500,64,5.80E+01
6000,72.9,5.47E+01
6500,82.2,5.18E+01
7000,92.1,4.93E+01
7500,103,4.70E+01
8000,113,4.50E+01
8500,125,4.31E+01
9000,137,4.14E+01
9500,149,3.99E+01
10000,162,3.84E+01
12500,232,3.28E+01
15000,314,2.87E+01
17500,406,2.57E+01
20000,508,2.33E+01
25000,742,1.97E+01
27500,874,1.83E+01
30000,1020,1.72E+01
35000,1320,1.53E+01
40000,1670,1.38E+01
45000,2050,1.26E+01
50000,2460,1.16E+01
55000,2910,1.08E+01
60000,3390,1.01E+01
65000,3900,9.45E+00
70000,4450,8.92E+00
75000,5020,8.45E+00
80000,5630,8.04E+00
85000,6260,7.66E+00
90000,6930,7.33E+00
95000,7630,7.02E+00
100000,8350,6.74E+00
125000,12400,5.66E+00
150000,17200,4.91E+00
175000,22600,4.35E+00
200000,28600,3.92E+00
225000,35300,3.58E+00
250000,42600,3.30E+00
275000,50400,3.07E+00
300000,58800,2.88E+00
350000,77300,2.56E+00
400000,97800,2.32E+00
450000,120000,2.13E+00
500000,145000,1.98E+00
550000,171000,1.85E+00
600000,199000,1.75E+00
650000,228000,1.65E+00
700000,259000,1.57E+00
750000,291000,1.51E+00
800000,325000,1.44E+00
850000,361000,1.39E+00
900000,397000,1.34E+00
950000,435000,1.30E+00
1000000,474000,1.26E+00
