NIST helium energy vs stopping power vs range,,
Source: NIST astar Database,,
In Water: Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
1,0.01706,9.891
1.5,0.02569,12.27
2,0.03463,14.31
2.5,0.04376,16.11
3,0.05305,17.75
4,0.07188,20.69
5,0.09084,23.3
6,0.1098,25.68
7,0.1286,27.88
8,0.1473,29.93
9,0.1658,31.86
10,0.184,33.7
12.5,0.2284,37.95
15,0.2713,41.81
17.5,0.3126,45.38
20,0.3524,48.71
22.5,0.3909,51.86
25,0.4281,54.83
27.5,0.4641,57.67
30,0.4991,60.39
35,0.5662,65.52
40,0.6299,70.3
45,0.6905,74.8
50,0.7486,79.05
55,0.8043,83.1
60,0.8579,86.96
65,0.9097,90.66
70,0.9597,94.22
75,1.008,97.64
80,1.055,100.9
85,1.101,104.1
90,1.146,107.2
95,1.19,110.2
100,1.232,113.1
125,1.432,126.5
150,1.614,138.3
175,1.784,148.8
200,1.943,158.2
225,2.094,166.6
250,2.238,174.3
275,2.376,181.1
300,2.51,187.3
350,2.766,197.8
400,3.011,206.2
450,3.247,212.8
500,3.478,217.8
550,3.704,221.5
600,3.927,224
650,4.148,225.5
700,4.368,226.2
750,4.588,226.2
800,4.808,225.6
850,5.029,224.5
900,5.252,223
950,5.476,221.1
1000,5.702,219
1250,6.876,205
1500,8.141,189.6
1750,9.509,175.2
2000,10.99,162.4
2250,12.58,151.1
2500,14.29,141.4
2750,16.11,132.9
3000,18.04,125.5
3500,22.24,113.2
4000,26.86,103.4
4500,31.89,95.27
5000,37.33,88.48
5500,43.18,82.69
6000,49.41,77.71
6500,56.02,73.34
7000,63.02,69.49
7500,70.39,66.07
8000,78.13,63.01
8500,86.24,60.25
9000,94.71,57.76
9500,103.5,55.48
10000,112.7,53.4
12500,163.8,45.14
15000,223.2,39.27
17500,290.9,34.87
20000,366.4,31.44
25000,540.5,26.39
27500,638.9,24.48
30000,744.6,22.84
35000,977.6,20.2
40000,1239,18.15
45000,1528,16.51
50000,1844,15.16
55000,2186,14.04
60000,2555,13.08
65000,2950,12.26
70000,3370,11.55
75000,3815,10.92
80000,4285,10.36
85000,4779,9.863
90000,5297,9.416
95000,5840,9.012
100000,6406,8.645
125000,9584,7.215
150000,13320,6.229
175000,17600,5.505
200000,22390,4.95
225000,27680,4.51
250000,33460,4.152
275000,39710,3.855
300000,46420,3.604
350000,61150,3.205
400000,77570,2.9
450000,95590,2.659
500000,115100,2.464
550000,136100,2.302
600000,158500,2.167
650000,182200,2.051
700000,207200,1.952
750000,233400,1.865
800000,260800,1.788
850000,289300,1.721
900000,318900,1.66
950000,349500,1.606
1000000,381100,1.557
