SRIM carbon energy vs stopping power vs range,,
Source: SRIM-2013,,
In Diamond (Carbon): Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
10,0.060896,68.60795455
11,0.066528,71.93181818
12,0.07216,75.14204545
13,0.078144,78.21022727
14,0.083776,81.16477273
15,0.089408,84.00568182
16,0.09504,86.76136364
17,0.100672,89.43181818
18,0.106304,92.04545455
20,0.117568,97.01704545
22.5,0.131296,102.8977273
25,0.145024,107.6988636
27.5,0.158752,111.4204545
30,0.17248,115.2556818
32.5,0.185856,119.1193182
35,0.199584,122.9545455
37.5,0.212608,126.7045455
40,0.225984,130.3693182
45,0.252032,137.3579545
50,0.277728,143.8352273
55,0.30272,149.8579545
60,0.32736,155.4261364
65,0.352,160.5965909
70,0.375936,165.4261364
80,0.423104,174.1761364
90,0.468864,181.9318182
100,0.51392,188.8636364
110,0.55792,195.0568182
120,0.601216,200.7102273
130,0.643808,205.8522727
140,0.686048,210.5965909
150,0.727584,215.0568182
160,0.768416,219.2897727
170,0.808896,223.3522727
180,0.848672,227.3011364
200,0.927168,235.0852273
225,1.02256,244.7443182
250,1.115136,254.5170455
275,1.204896,264.3465909
300,1.292192,274.2045455
325,1.376672,284.0056818
350,1.458336,293.75
375,1.53824,303.4090909
400,1.61568,312.7840909
450,1.764576,330.9659091
500,1.906432,348.2954545
550,2.042304,364.4886364
600,2.172544,380.3977273
650,2.298208,395.1704545
700,2.419296,409.0909091
800,2.651264,435.2272727
900,2.87056,458.5227273
1000,3.080352,479.5454545
1100,3.282048,498.2954545
1200,3.476704,515.625
1300,3.6608,530.9659091
1400,3.8368,544.8863636
1500,4.0128,557.6704545
1600,4.1888,569.3181818
1700,4.3648,579.8295455
1800,4.5408,589.2045455
2000,4.8928,605.9659091
2250,5.28,622.7272727
2500,5.6672,636.3636364
2750,6.0544,647.1590909
3000,6.4416,655.9659091
3250,6.8288,663.0681818
3500,7.1808,668.75
3750,7.568,673.2954545
4000,7.9552,676.9886364
4500,8.6592,681.8181818
5000,9.3984,683.8068182
5500,10.1376,683.8068182
6000,10.8768,682.1022727
6500,11.5808,678.6931818
7000,12.32,673.8636364
8000,13.8336,661.3636364
9000,15.3472,646.3068182
10000,16.9312,630.3977273
11000,18.5152,613.9204545
12000,20.1696,597.4431818
13000,21.8592,581.5340909
14000,23.6192,566.1931818
15000,25.4144,551.1363636
16000,27.2448,536.9318182
17000,29.1104,523.5795455
18000,31.0464,510.5113636
20000,35.0592,486.0795455
22500,40.3392,458.8068182
25000,45.936,436.0795455
27500,51.8144,415.3409091
30000,57.9744,394.6022727
32500,64.4512,376.7045455
35000,71.2448,360.5113636
37500,78.32,345.7386364
40000,85.712,332.1022727
45000,101.3408,307.3863636
50000,118.2016,286.0795455
55000,136.2944,267.2159091
60000,155.6192,250.7102273
65000,176.1408,236.0511364
70000,197.9296,222.9545455
80000,245.2032,200.6818182
90000,297.44,182.5
100000,354.64,167.4431818
110000,416.7328,154.8295455
120000,483.6832,144.1193182
130000,555.3504,134.9715909
140000,631.6992,127.0738636
150000,712.5888,120.1704545
160000,797.9488,114.1193182
170000,887.6736,108.7784091
180000,981.6928,104.0056818
200000,1181.9808,95.85227273
225000,1454.7808,87.61363636
250000,1751.8336,80.85227273
275000,2072.6464,75.08522727
300000,2417.2544,70.05681818
325000,2786.1504,65.53977273
350000,3180.3904,61.33522727
375000,3590.4,57.78409091
400000,4048,54.80113636
450000,4998.4,49.80113636
500000,6054.4,45.71022727
550000,7180.8,42.32954545
600000,8412.8,39.46022727
650000,9715.2,37.01704545
700000,11123.2,34.88636364
744000,12390.4,33.35227273
750000,12566.4,33.125
800000,14115.2,31.39204545
900000,17459.2,28.63636364
1000000,21120,26.38352273
1100000,25027.2,24.52840909
1200000,29251.2,22.96590909
1300000,33721.6,21.63352273
1400000,38473.6,20.48295455
1500000,43507.2,19.47727273
1600000,48752,18.59090909
1700000,54243.2,17.80397727
1800000,59980.8,17.10227273
2000000,72089.6,15.90056818
2250000,88457.6,14.6875
2500000,106092.8,13.71022727
2750000,124854.4,12.90625
3000000,144777.6,12.23295455
3250000,165686.4,11.66193182
3500000,187580.8,11.17329545
3750000,210390.4,10.74715909
4000000,234080,10.375
4500000,283782.4,9.752840909
5000000,336406.4,9.258522727
5500000,391635.2,8.855113636
6000000,449187.2,8.519886364
6500000,508851.2,8.241477273
7000000,570416,8.002840909
8000000,698473.6,7.625
9000000,832180,7.336
10000000,970620,7.113
