SRIM carbon energy vs stopping power vs range,,
Source: SRIM-2013,,
In Silicon: Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
10,0.0793,41.28
11,0.0866,43.29
12,0.094,45.22
13,0.1013,47.07
14,0.1086,48.84
15,0.1159,50.56
16,0.1232,52.21
17,0.1305,53.82
18,0.1378,55.38
20,0.1523,58.38
22.5,0.1704,61.92
25,0.1882,66.73
27.5,0.2056,72.86
30,0.2225,77.97
32.5,0.239,82.23
35,0.2553,85.83
37.5,0.2715,88.92
40,0.2875,91.63
45,0.3194,96.27
50,0.3511,100.3
55,0.3826,103.9
60,0.4139,107.2
65,0.4451,110.2
70,0.476,113.1
80,0.5374,118.6
90,0.5979,123.6
100,0.6575,128.5
110,0.7162,133.3
120,0.7739,138.1
130,0.8306,142.8
140,0.8862,147.6
150,0.9407,152.4
160,0.9942,157.2
170,1.05,162
180,1.1,166.8
200,1.2,176.4
225,1.32,188.4
250,1.43,200.4
275,1.54,212.1
300,1.64,223.7
325,1.74,235
350,1.84,246
375,1.93,256.8
400,2.02,267.2
450,2.19,287
500,2.35,305.4
550,2.5,322.6
600,2.64,338.5
650,2.78,353.1
700,2.91,366.6
800,3.17,390.5
900,3.41,410.7
1000,3.64,427.8
1100,3.87,442.3
1200,4.09,454.4
1300,4.3,464.7
1400,4.51,473.4
1500,4.71,480.7
1600,4.92,486.9
1700,5.12,492
1800,5.32,496.4
2000,5.71,503
2250,6.2,508.3
2500,6.69,511.2
2750,7.17,512.6
3000,7.66,512.8
3250,8.14,512.2
3500,8.63,511.1
3750,9.11,509.5
4000,9.6,507.7
4500,10.59,503.4
5000,11.58,498.7
5500,12.58,493.9
6000,13.59,489
6500,14.62,484.2
7000,15.65,479.5
8000,17.75,470.2
9000,19.89,461.4
10000,22.07,452.9
11000,24.3,444.8
12000,26.56,437
13000,28.86,429.4
14000,31.21,422
15000,33.59,414.9
16000,36.02,408
17000,38.49,401.2
18000,41,394.7
20000,46.14,382
22500,52.8,367.2
25000,59.74,353.4
27500,66.96,338.4
30000,74.51,323.3
32500,82.39,310.6
35000,90.59,298.8
37500,99.1,287.7
40000,107.95,277.3
45000,126.61,258.4
50000,146.61,241.7
55000,167.94,227
60000,190.62,213.8
65000,214.67,202
70000,240.09,191.4
80000,295.01,173.1
90000,355.43,158.1
100000,421.35,145.5
110000,492.73,134.8
120000,569.51,125.7
130000,651.65,117.8
140000,739.06,111
150000,831.69,104.9
160000,929.45,99.61
170000,1030,94.86
180000,1140,90.6
200000,1370,83.28
225000,1680,75.84
250000,2030,69.79
275000,2400,64.75
300000,2800,60.47
325000,3230,56.78
350000,3680,53.56
375000,4160,50.7
400000,4660,48.17
450000,5750,43.87
500000,6940,40.36
550000,8230,37.44
600000,9610,34.96
650000,11080,32.84
700000,12650,31
744000,16050,27.95
750000,19790,25.54
800000,23860,23.58
900000,28250,21.96
1000000,32960,20.59
1100000,37960,19.41
1200000,43250,18.4
1300000,48820,17.51
1400000,54660,16.73
1500000,60760,16.04
1600000,67120,15.41
1700000,80570,14.35
1800000,98680,13.28
2000000,118150,12.41
2250000,138890,11.7
2500000,160830,11.1
2750000,183880,10.59
3000000,207980,10.16
3250000,233060,9.779
3500000,259060,9.448
3750000,313590,8.897
4000000,371230,8.458
4500000,431620,8.101
5000000,494490,7.806
5500000,559570,7.559
6000000,626640,7.35
6500000,765880,7.017
7000000,911010,6.766
8000000,1060000,6.573
9000000,907542.776,6.811132173
10000000,1056378.12,6.625883164
