SRIM proton energy vs stopping power vs range,,
Source: SRIM-2013,,
In Diamond (Carbon): Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
10,0.3083,35.89
11,0.3324,37.42
12,0.3558,38.85
13,0.3785,40.19
14,0.4007,41.45
15,0.4224,42.64
16,0.4437,43.76
17,0.4645,44.81
18,0.485,45.81
20,0.5249,47.65
22.5,0.5732,49.68
25,0.6199,51.48
27.5,0.6654,53.06
30,0.7098,54.48
32.5,0.7533,55.74
35,0.796,56.87
37.5,0.838,57.89
40,0.8794,58.82
45,0.9608,60.4
50,1.04,61.68
55,1.12,62.7
60,1.2,63.48
65,1.27,64.05
70,1.35,64.43
80,1.5,64.7
90,1.65,64.42
100,1.81,63.75
110,1.96,62.78
120,2.12,61.63
130,2.29,60.36
140,2.45,59.03
150,2.62,57.67
160,2.8,56.32
170,2.97,54.98
180,3.16,53.68
200,3.53,51.21
225,4.03,48.39
250,4.56,45.86
275,5.12,43.6
300,5.7,41.58
325,6.31,39.76
350,6.95,38.13
375,7.62,36.64
400,8.31,35.29
450,9.77,32.94
500,11.33,30.94
550,12.98,29.23
600,14.73,27.75
650,16.57,26.46
700,18.49,25.33
800,22.58,23.45
900,26.97,21.97
1000,31.64,20.79
1100,36.54,19.91
1200,41.66,19.03
1300,47.01,18.24
1400,52.59,17.54
1500,58.38,16.88
1600,64.4,16.26
1700,70.65,15.67
1800,77.13,15.12
2000,90.8,14.09
2250,109.24,12.98
2500,129.2,12.03
2750,150.68,11.22
3000,173.65,10.51
3250,198.12,9.896
3500,224.04,9.356
3750,251.42,8.876
4000,280.23,8.448
4500,342.05,7.715
5000,409.45,7.109
5500,482.32,6.598
6000,560.59,6.163
6500,644.18,5.786
7000,733.01,5.456
8000,925.97,4.907
9000,1140,4.466
10000,1370,4.104
11000,1630,3.801
12000,1900,3.543
13000,2190,3.321
14000,2500,3.128
15000,2830,2.958
16000,3170,2.807
17000,3540,2.672
18000,3920,2.551
20000,4740,2.341
22500,5860,2.128
25000,7080,1.953
27500,8410,1.808
30000,9840,1.684
32500,11370,1.579
35000,13000,1.487
37500,14730,1.407
40000,16550,1.336
45000,20470,1.215
50000,24750,1.117
55000,29390,1.036
60000,34380,0.9674
65000,39710,0.9087
70000,45360,0.8577
80000,57620,0.7739
90000,71120,0.7076
100000,85810,0.6538
110000,101640,0.6093
120000,118560,0.5718
130000,136540,0.5398
140000,155540,0.5121
150000,175520,0.488
160000,196450,0.4667
170000,218290,0.4479
180000,241020,0.4311
200000,289010,0.4023
225000,353470,0.3732
250000,422590,0.3499
275000,496020,0.3307
300000,573460,0.3146
325000,654630,0.301
350000,739260,0.2893
375000,827140,0.2792
400000,918030,0.2704
450000,1110000,0.2557
500000,1310000,0.2441
550000,1520000,0.2347
600000,1730000,0.2269
650000,1960000,0.2204
700000,2190000,0.2149
744000,2660000,0.2063
750000,3150000,0.1998
800000,3660000,0.1948
900000,4180000,0.1909
1000000,4710000,0.1878
1100000,5240000,0.1854
1200000,5780000,0.1834
1300000,6330000,0.1818
1400000,6880000,0.1805
1500000,7440000,0.1795
1600000,8000000,0.1786
1700000,9120000,0.1774
1800000,10530000,0.1764
2000000,11950000,0.1759
2250000,13370000,0.1757
2500000,14790000,0.1758
2750000,16210000,0.1759
3000000,17630000,0.1762
3250000,19050000,0.1766
3500000,20460000,0.177
3750000,23280000,0.1779
4000000,26080000,0.1789
4500000,28870000,0.1798
5000000,31640000,0.1808
5500000,34400000,0.1818
6000000,37140000,0.1828
6500000,42580000,0.1846
7000000,47980000,0.1863
8000000,53320000,0.1879
9000000,832163.2,7.335227273
10000000,970604.8,7.113636364
