SRIM proton energy vs stopping power vs range,,
In Silicon: Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
10,0.3115,31.31
11,0.337,32.77
12,0.3617,34.19
13,0.3857,35.56
14,0.4091,36.88
15,0.4319,38.13
16,0.4543,39.33
17,0.4761,40.45
18,0.4975,41.52
20,0.5392,43.46
22.5,0.5896,45.56
25,0.6385,47.32
27.5,0.6861,48.78
30,0.7327,49.99
32.5,0.7787,50.97
35,0.8241,51.77
37.5,0.8691,52.4
40,0.9138,52.88
45,1,53.52
50,1.09,53.8
55,1.18,53.82
60,1.27,53.65
65,1.36,53.34
70,1.45,52.93
80,1.63,51.92
90,1.82,50.77
100,2.02,49.57
110,2.22,48.36
120,2.42,47.17
130,2.63,46.02
140,2.85,44.92
150,3.07,43.87
160,3.29,42.86
170,3.53,41.9
180,3.76,40.99
200,4.25,39.3
225,4.9,37.41
250,5.57,35.73
275,6.27,34.23
300,7.01,32.88
325,7.78,31.66
350,8.57,30.55
375,9.39,29.53
400,10.24,28.61
450,12.03,26.96
500,13.91,25.54
550,15.9,24.3
600,17.99,23.21
650,20.17,22.24
700,22.44,21.36
800,27.26,19.86
900,32.42,18.61
1000,37.91,17.55
1100,43.72,16.62
1200,49.87,15.7
1300,56.36,14.92
1400,63.17,14.23
1500,70.31,13.61
1600,77.77,13.05
1700,85.54,12.53
1800,93.62,12.07
2000,110.7,11.24
2250,133.72,10.37
2500,158.58,9.644
2750,185.24,9.023
3000,213.66,8.486
3250,243.81,8.017
3500,275.66,7.604
3750,309.19,7.236
4000,344.38,6.906
4500,419.6,6.338
5000,501.23,5.866
5500,589.12,5.466
6000,683.17,5.123
6500,783.28,4.825
7000,889.35,4.564
8000,1120,4.125
9000,1370,3.771
10000,1650,3.479
11000,1940,3.233
12000,2260,3.023
13000,2600,2.841
14000,2960,2.682
15000,3340,2.542
16000,3750,2.417
17000,4170,2.305
18000,4610,2.204
20000,5550,2.029
22500,6840,1.85
25000,8240,1.703
27500,9760,1.58
30000,11390,1.475
32500,13130,1.386
35000,14980,1.307
37500,16940,1.238
40000,19010,1.177
45000,23440,1.074
50000,28270,0.9894
55000,33500,0.9191
60000,39110,0.8595
65000,45090,0.8084
70000,51430,0.7641
80000,65150,0.6909
90000,80230,0.6328
100000,96610,0.5856
110000,114230,0.5465
120000,133050,0.5135
130000,153030,0.4853
140000,174110,0.4609
150000,196260,0.4396
160000,219450,0.4208
170000,243630,0.4041
180000,268770,0.3892
200000,321790,0.3637
225000,392920,0.338
250000,469080,0.3173
275000,549890,0.3002
300000,635000,0.286
325000,724120,0.2739
350000,816950,0.2636
375000,913240,0.2546
400000,1010000,0.2468
450000,1220000,0.2338
500000,1440000,0.2235
550000,1670000,0.2152
600000,1900000,0.2084
650000,2140000,0.2027
700000,2390000,0.1979
744000,2910000,0.1904
750000,3440000,0.1848
800000,3990000,0.1805
900000,4550000,0.1773
1000000,5110000,0.1748
1100000,5690000,0.1728
1200000,6270000,0.1712
1300000,6850000,0.17
1400000,7440000,0.169
1500000,8040000,0.1683
1600000,8630000,0.1677
1700000,9820000,0.1669
1800000,11320000,0.1665
2000000,12820000,0.1665
2250000,14320000,0.1667
2500000,15820000,0.1671
2750000,17310000,0.1676
3000000,18800000,0.1682
3250000,20280000,0.1688
3500000,21760000,0.1695
3750000,24690000,0.1708
4000000,27610000,0.1722
4500000,30500000,0.1735
5000000,33370000,0.1748
5500000,36210000,0.1761
6000000,39040000,0.1773
6500000,44640000,0.1795
7000000,50180000,0.1815
8000000,55660000,0.1834
9000000,907542.776,6.811132173
10000000,1056378.12,6.625883164
